TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1516resq-txcmplpps-Q-1,Q-1,2-79 B,10529,4874,0,9381,4886,0,2,0,0,2,0,0,79,0,0,79,0,0,
1516resq-txcmplpps-Q-2,Q-2,76-76 T,10864,10860,0,10861,11004,0,76,0,0,36,0,40,76,0,0,76,0,0,
1516resq-txcmplpps-Q-3,Q-3,51-0 R,10519,10527,0,4897,10528,0,51,0,0,51,0,0,0,0,0,0,0,0,
1516resq-txcmplpps-Q-4,Q-4,164-81 R,9362,9204,0,4885,4906,0,164,0,0,84,80,0,81,0,0,41,40,0,
1516resq-txcmplpps-Q-5,Q-5,4-26 B,10860,10519,0,7239,9381,0,4,0,0,4,0,0,26,0,0,26,0,0,
1516resq-txcmplpps-Q-6,Q-6,157-22 R,9362,11004,0,4874,4897,0,157,0,0,77,80,0,22,0,0,22,0,0,
1516resq-txcmplpps-Q-7,Q-7,46-46 T,10864,4906,0,10527,7239,0,46,0,0,46,0,0,46,0,0,46,0,0,
1516resq-txcmplpps-Q-8,Q-8,27-69 B,10861,10528,0,9204,4886,0,27,0,0,27,0,0,69,0,0,59,0,10,
1516resq-txcmplpps-Q-9,Q-9,34-60 B,10529,10519,0,4885,11004,0,34,0,0,34,0,0,60,0,0,60,0,0,
1516resq-txcmplpps-Q-10,Q-10,2-65 B,4906,4897,0,4886,10860,0,2,0,0,2,0,0,65,0,0,65,0,0,
1516resq-txcmplpps-Q-11,Q-11,0-130 B,9204,9381,0,9362,10527,0,0,0,0,0,0,0,130,0,0,50,80,0,
1516resq-txcmplpps-Q-12,Q-12,0-37 B,4885,10528,0,10864,4874,0,0,0,0,0,0,0,37,0,0,37,0,0,
1516resq-txcmplpps-Q-13,Q-13,58-55 R,10861,7239,0,10529,9362,0,58,0,0,58,0,0,55,0,0,55,0,0,
1516resq-txcmplpps-Q-14,Q-14,201-27 R,10527,4886,0,10860,4885,0,201,0,0,201,0,0,27,0,0,27,0,0,
1516resq-txcmplpps-Q-15,Q-15,66-62 R,4874,10861,0,4906,10519,0,66,0,0,66,0,0,62,0,0,62,0,0,
1516resq-txcmplpps-Q-16,Q-16,5-1 R,9204,10529,0,10864,4897,0,5,0,0,5,0,0,1,0,0,1,0,0,
1516resq-txcmplpps-Q-17,Q-17,54-55 B,9381,10528,0,11004,7239,0,54,0,0,54,0,0,55,0,0,55,0,0,
1516resq-txcmplpps-Q-18,Q-18,73-145 B,10864,4886,0,10519,9362,0,73,0,0,73,0,0,145,0,0,65,80,0,
1516resq-txcmplpps-Q-19,Q-19,87-46 R,4906,10860,0,10529,10528,0,87,0,0,87,0,0,46,0,0,46,0,0,
1516resq-txcmplpps-Q-20,Q-20,67-58 R,4874,7239,0,10527,9204,0,67,5,0,62,0,0,58,0,0,58,0,0,
1516resq-txcmplpps-Q-21,Q-21,85-75 R,4885,4897,0,10861,9381,0,85,0,0,85,0,0,75,0,0,75,0,0,
1516resq-txcmplpps-Q-22,Q-22,28-41 B,11004,4886,0,4906,9204,0,28,0,0,28,0,0,41,0,0,41,0,0,
1516resq-txcmplpps-SF-1-1,SF-1-1,32-43 B,10527,4874,0,10529,10860,0,32,0,0,32,0,0,43,0,0,43,0,0,
1516resq-txcmplpps-SF-1-2,SF-1-2,51-30 R,10527,4874,0,10529,10860,0,51,0,0,51,0,0,30,0,0,30,0,0,
1516resq-txcmplpps-SF-1-3,SF-1-3,42-53 B,10527,4874,0,10529,10860,0,42,0,0,42,0,0,53,0,0,53,0,0,
1516resq-txcmplpps-SF-2-1,SF-2-1,125-63 R,4886,9362,0,10864,10861,0,125,0,0,125,0,0,63,0,0,53,0,10,
1516resq-txcmplpps-SF-2-2,SF-2-2,255-63 R,4886,9362,0,10864,10861,0,255,0,0,175,80,0,63,0,0,63,0,0,
1516resq-txcmplpps-F-1,F-1,42-169 B,10529,10860,0,4886,9362,0,42,0,0,42,0,0,169,0,0,89,80,0,
1516resq-txcmplpps-F-2,F-2,49-174 B,10529,10860,0,4886,9362,0,49,0,0,49,0,0,174,0,0,94,80,0,
