TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-canbc-cmp-Q-1,Q-1,135-28 R,3491,12354,0,11094,11843,0,135,28,false,false,false,false,
1617velv-canbc-cmp-Q-2,Q-2,130-105 R,417,12156,0,12281,5009,0,130,105,false,false,false,false,
1617velv-canbc-cmp-Q-3,Q-3,145-100 R,12006,5843,0,3805,11589,0,145,100,false,false,false,false,
1617velv-canbc-cmp-Q-4,Q-4,56-30 R,11094,5009,0,12354,12156,0,56,30,false,false,false,false,
1617velv-canbc-cmp-Q-5,Q-5,15-110 B,11589,12281,0,3491,3805,0,15,110,false,false,false,false,
1617velv-canbc-cmp-Q-6,Q-6,170-65 R,11843,5843,0,417,12006,0,170,65,false,false,false,false,
1617velv-canbc-cmp-Q-7,Q-7,100-30 R,11589,3491,0,5009,12156,0,100,30,false,false,false,false,
1617velv-canbc-cmp-Q-8,Q-8,135-140 B,3805,12006,0,417,11094,0,135,140,false,false,false,false,
1617velv-canbc-cmp-Q-9,Q-9,40-70 B,11843,12354,0,12281,5843,0,40,70,false,false,false,false,
1617velv-canbc-cmp-Q-10,Q-10,215-60 R,417,5009,0,3491,12006,0,215,60,false,false,false,false,
1617velv-canbc-cmp-Q-11,Q-11,110-130 B,12156,3805,0,5843,12354,0,110,130,false,false,false,false,
1617velv-canbc-cmp-Q-12,Q-12,52-20 R,11589,11094,0,11843,12281,0,52,20,false,false,false,false,
1617velv-canbc-cmp-Q-13,Q-13,105-190 B,3805,5843,0,3491,5009,0,105,190,false,false,false,false,
1617velv-canbc-cmp-Q-14,Q-14,36-170 B,11094,12354,0,417,11589,0,36,170,false,false,false,false,
1617velv-canbc-cmp-Q-15,Q-15,30-35 B,12281,12156,0,12006,11843,0,30,35,false,false,false,false,
1617velv-canbc-cmp-SF-1-1,SF-1-1,135-25 R,417,5009,0,12006,12354,0,135,25,false,false,false,false,
1617velv-canbc-cmp-SF-1-2,SF-1-2,130-55 R,417,5009,0,12006,12354,0,130,55,false,false,false,false,
1617velv-canbc-cmp-SF-2-1,SF-2-1,195-21 R,5843,3491,0,11094,11589,0,195,21,false,false,false,false,
1617velv-canbc-cmp-SF-2-2,SF-2-2,215-36 R,5843,3491,0,11094,11589,0,215,36,false,false,false,false,
1617velv-canbc-cmp-F-1,F-1,170-120 R,417,5009,0,5843,3491,0,170,120,false,false,false,false,
1617velv-canbc-cmp-F-2,F-2,155-160 B,417,5009,0,5843,3491,0,155,160,false,false,false,false,
1617velv-canbc-cmp-F-3,F-3,135-200 B,417,5009,0,5843,3491,0,135,200,false,false,false,false,
