TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-flpbl21,11800,TechGarage5,1,8,68,55,5,,0.80,15.8,15.4,
1617velv-flpbl21,11599,Westgate 1,2,8,50,55,5,,0.80,22.5,20.7,
1617velv-flpbl21,11596,Cuda,3,6,86,31,5,,0.60,11.6,11.5,
1617velv-flpbl21,11601,Westgate 3,4,6,72,31,5,,0.60,8.8,9.3,
1617velv-flpbl21,11605,Cabana 2,5,6,60,35,5,,0.60,8.0,9.0,
1617velv-flpbl21,10746,Tech Garage 6,6,6,58,50,5,,0.60,18.0,17.0,
1617velv-flpbl21,11602,Westgate 4,7,6,54,45,5,,0.60,13.1,12.9,
1617velv-flpbl21,10606,Tech Garage,8,6,52,50,5,,0.60,23.7,21.9,
1617velv-flpbl21,11798,TechGarage3,9,6,42,45,5,,0.60,16.1,15.4,
1617velv-flpbl21,11797,TechGarage2,10,6,41,50,5,,0.60,15.3,14.6,
1617velv-flpbl21,11604,Cabana 1,11,4,80,55,5,,0.40,17.4,16.8,
1617velv-flpbl21,11597,Mechanical Owls,12,4,63,31,5,,0.40,2.6,4.5,
1617velv-flpbl21,12228,CATS2,13,4,58,55,5,,0.40,14.6,13.8,
1617velv-flpbl21,12249,Minjas,14,2,52,35,5,,0.20,2.9,4.6,
1617velv-flpbl21,12226,CATS FTC 1,15,2,46,30,5,,0.20,3.5,4.6,
1617velv-flpbl21,11600,Westgate 2,16,0,54,20,5,,0.00,0.6,2.3,
